Gebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent
999;System-Gruppe;Ungültige;;1;492495;1,051116
999;System-Gruppe;Ungültige;;2;412485;0,880353
999;Partei;CDU;1;1;10451524;22,543292
999;Partei;CDU;1;2;8775471;18,89554
999;Partei;SPD;2;1;12234690;26,389471
999;Partei;SPD;2;2;11955434;25,742707
999;Partei;AfD;3;1;4695611;10,128143
999;Partei;AfD;3;2;4803902;10,343869
999;Partei;FDP;4;1;4042951;8,720396
999;Partei;FDP;4;2;5319952;11,455039
999;Partei;DIE LINKE;5;1;2307536;4,977213
999;Partei;DIE LINKE;5;2;2270906;4,889765
999;Partei;GRÜNE;6;1;6469081;13,953408
999;Partei;GRÜNE;6;2;6852206;14,754323
999;Partei;CSU;7;1;2788048;6,013647
999;Partei;CSU;7;2;2402827;5,173821
999;Partei;FREIE WÄHLER;8;1;1334739;2,87895
999;Partei;FREIE WÄHLER;8;2;1127784;2,42837
999;Partei;Die PARTEI;9;1;543145;1,17153
999;Partei;Die PARTEI;9;2;461570;0,993863
999;Partei;Tierschutzpartei;10;1;163201;0,352014
999;Partei;Tierschutzpartei;10;2;675353;1,454185
999;Partei;NPD;11;1;1090;0,002351
999;Partei;NPD;11;2;64574;0,139042
999;Partei;PIRATEN;12;1;60839;0,131226
999;Partei;PIRATEN;12;2;169923;0,365882
999;Partei;ÖDP;13;1;152792;0,329563
999;Partei;ÖDP;13;2;112314;0,241837
999;Partei;V-Partei³;14;1;10644;0,022958
999;Partei;V-Partei³;14;2;31884;0,068653
999;Partei;DiB;15;1;2609;0,005627
999;Partei;DiB;15;2;7184;0,015469
999;Partei;BP;16;1;36748;0,079263
999;Partei;BP;16;2;32790;0,070604
999;Partei;Tierschutzallianz;17;1;7371;0,015899
999;Partei;Tierschutzallianz;17;2;13672;0,029439
999;Partei;MLPD;18;1;22534;0,048604
999;Partei;MLPD;18;2;17799;0,038325
999;Partei;Gesundheitsforschung;19;1;2842;0,00613
999;Partei;Gesundheitsforschung;19;2;49349;0,106259
999;Partei;MENSCHLICHE WELT;20;1;656;0,001415
999;Partei;MENSCHLICHE WELT;20;2;3786;0,008152
999;Partei;DKP;21;1;5446;0,011747
999;Partei;DKP;21;2;14925;0,032137
999;Partei;Die Grauen;22;1;2368;0,005108
999;Partei;Die Grauen;22;2;19443;0,041865
999;Partei;BüSo;23;1;811;0,001749
999;Partei;BüSo;23;2;727;0,001565
999;Partei;Die Humanisten;24;1;12730;0,027458
999;Partei;Die Humanisten;24;2;47711;0,102732
999;Partei;Gartenpartei;25;1;2095;0,004519
999;Partei;Gartenpartei;25;2;7611;0,016388
999;Partei;du.;26;1;1912;0,004124
999;Partei;du.;26;2;17811;0,038351
999;Partei;SGP;27;1;;
999;Partei;SGP;27;2;1417;0,003051
999;Partei;dieBasis;28;1;735451;1,586322
999;Partei;dieBasis;28;2;630153;1,356859
999;Partei;Bündnis C;29;1;6222;0,01342
999;Partei;Bündnis C;29;2;39868;0,085845
999;Partei;BÜRGERBEWEGUNG;30;1;1556;0,003356
999;Partei;BÜRGERBEWEGUNG;30;2;7491;0,01613
999;Partei;III. Weg;31;1;515;0,001111
999;Partei;III. Weg;31;2;7832;0,016864
999;Partei;BÜNDNIS21;32;1;377;0,000813
999;Partei;BÜNDNIS21;32;2;3488;0,00751
999;Partei;LIEBE;33;1;873;0,001883
999;Partei;LIEBE;33;2;12967;0,027921
999;Partei;LKR;34;1;10767;0,023224
999;Partei;LKR;34;2;11159;0,024028
999;Partei;PdF;35;1;;
999;Partei;PdF;35;2;3228;0,006951
999;Partei;LfK;36;1;;
999;Partei;LfK;36;2;9189;0,019786
