Gebietsnummer;Gebietsname;Fläche (km²);Bevölkerung - insgesamt (in 1000);Bevölkerung Ausländer/-innen (%);Geburtensaldo (je 1000 EW);Wanderungssaldo (je 1000 EW);Alter unter 18 (%);Alter 18-24 (%);Alter 25-34 (%);Alter 35-59 (%);Alter 60-74 (%);Alter 75 und mehr (%);Bodenfläche - Siedlung und Verkehr (%);Bodenfläche - Vegetation und Gewässer (%);Wohnungen Insgesamt (je 1000 EW);Wohnfläche (je EW);PKW Insgesamt (je 1000 EW);Verfügbares Einkommen (EUR je EW);Bruttoinlandsprodukt (EUR je EW);Arbeitslosenquote - insgesamt;Arbeitslosenquote - 15 bis 24 Jahre;Arbeitslosenquote - 55 bis 64 Jahre
1;Flensburg – Schleswig;2.124,3;291,3;8,4;-2,7;9,5;16,6;8,4;12,0;33,6;17,6;11,9;12,4;87,6;523,1;49,3;592,1;21358;31178;7,0;5,9;7,6
2;Nordfriesland – Dithmarschen Nord;2.777,9;235,0;7,1;-5,2;8,3;15,6;7,7;11,0;34,0;18,9;12,8;11,0;89,0;588,9;55,7;620,2;24354;34160;6,5;5,4;7,2
3;Steinburg – Dithmarschen Süd;2.000,0;221,0;6,5;-5,3;4,6;16,3;7,2;10,5;35,7;18,2;12,2;11,5;88,5;505,4;49,2;617,8;22292;31977;6,4;7,0;6,4
4;Rendsburg-Eckernförde;2.165,4;252,1;5,5;-3,8;8,6;16,9;7,0;9,9;35,9;18,3;12,0;11,4;88,6;500,1;49,5;634,0;23410;29036;4,8;4,7;5,2
5;Kiel;143,0;268,8;11,4;-0,8;-1,8;14,9;10,6;17,2;32,1;14,6;10,5;50,8;49,2;546,7;39,4;465,3;19718;46128;8,4;5,1;8,4
6;Plön – Neumünster;1.302,4;223,0;8,7;-4,0;5,1;16,1;7,2;10,6;34,6;18,2;13,3;12,1;87,9;505,6;45,8;588,1;22081;29053;6,7;6,7;7,0
7;Pinneberg;664,3;316,1;11,1;-2,5;8,1;17,1;7,1;10,8;36,4;16,5;12,1;22,2;77,8;491,3;44,9;560,8;24708;29803;5,9;5,3;6,1
8;Segeberg – Stormarn-Mitte;1.333,4;320,6;8,0;-1,9;5,7;17,2;6,8;10,5;36,9;17,0;11,6;15,5;84,5;478,7;46,0;609,8;23952;31902;5,0;4,6;5,5
9;Ostholstein – Stormarn-Nord;1.533,7;220,6;5,7;-6,7;6,8;14,7;6,3;9,3;35,1;20,3;14,3;12,3;87,7;568,8;51,6;630,2;23411;27539;6,1;5,4;7,4
10;Herzogtum Lauenburg – Stormarn-Süd;1.349,9;319,6;8,6;-3,8;8,8;17,1;6,6;9,8;36,0;17,0;13,5;15,3;84,7;481,2;46,0;606,3;24571;27988;5,1;5,5;5,2
11;Lübeck;406,3;235,6;10,0;-4,2;1,3;15,4;8,1;13,3;33,9;16,7;12,6;24,3;75,7;539,0;40,6;471,1;20404;42134;8,5;7,5;8,7
901;Schleswig-Holstein;15.800,5;2903,8;8,4;-3,5;6,0;16,3;7,5;11,4;35,0;17,5;12,4;13,4;86,6;517,7;46,9;581,1;22833;32721;6,3;5,7;6,7
12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;3.640,9;269,2;6,7;-3,4;2,6;16,3;5,5;10,9;35,7;19,5;12,2;9,0;91,0;544,1;44,0;547,1;19927;29893;8,0;10,7;7,6
13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;3.937,0;249,3;4,0;-5,7;7,5;15,3;4,9;9,5;35,6;21,6;13,1;8,9;91,1;550,0;45,5;585,9;20014;24594;6,8;8,3;7,3
14;Rostock – Landkreis Rostock II;994,5;276,5;5,5;-3,1;6,0;14,9;7,6;13,9;32,9;17,6;13,1;15,6;84,4;564,9;39,9;450,3;19274;33708;7,9;7,7;7,9
15;Vorpommern-Rügen – Vorpommern-Greifswald I;3.475,8;294,4;4,7;-6,2;6,7;14,7;6,2;11,3;34,2;20,3;13,3;9,3;90,7;591,6;44,6;542,7;19231;25124;11,0;11,8;12,2
16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;4.968,3;267,4;3,8;-8,1;2,8;14,9;4,8;9,1;34,6;22,6;14,0;8,0;92,0;589,9;46,3;541,1;18774;26109;9,9;11,3;10,5
17;Mecklenburgische Seenplatte II – Landkreis Rostock III;6.277,7;251,3;3,0;-7,5;4,2;15,4;4,5;9,1;35,8;21,4;13,8;7,0;93,0;568,1;45,4;567,5;19679;26866;8,5;10,8;8,8
913;Mecklenburg-Vorpommern;23.295,2;1608,1;4,7;-5,6;5,0;15,2;5,6;10,7;34,8;20,5;13,2;8,6;91,4;568,6;44,2;537,9;19470;27747;8,7;10,0;9,1
18;Hamburg-Mitte;118,4;360,311;21,8;1,9;2,7;16,8;7,9;16,3;35,4;13,6;9,9;58,9;41,1;523,0;39,0;435,3;25029;64771;8,1;7,0;8,6
19;Hamburg-Altona;77,9;267,9;15,5;1,9;2,7;16,8;7,9;16,3;35,4;13,6;9,9;58,9;41,1;523,0;39,0;435,3;25029;64771;8,1;7,0;8,6
20;Hamburg-Eimsbüttel;49,8;260,3;13,2;1,9;2,7;16,8;7,9;16,3;35,4;13,6;9,9;58,9;41,1;523,0;39,0;435,3;25029;64771;8,1;7,0;8,6
21;Hamburg-Nord;115,0;289,2;10,9;1,9;2,7;16,8;7,9;16,3;35,4;13,6;9,9;58,9;41,1;523,0;39,0;435,3;25029;64771;8,1;7,0;8,6
22;Hamburg-Wandsbek;78,8;326,9;14,8;1,9;2,7;16,8;7,9;16,3;35,4;13,6;9,9;58,9;41,1;523,0;39,0;435,3;25029;64771;8,1;7,0;8,6
23;Hamburg-Bergedorf – Harburg;315,2;342,7;20,8;1,9;2,7;16,8;7,9;16,3;35,4;13,6;9,9;58,9;41,1;523,0;39,0;435,3;25029;64771;8,1;7,0;8,6
902;Hamburg;755,1;1847,3;16,5;1,9;2,7;16,8;7,9;16,3;35,4;13,6;9,9;58,9;41,1;523,0;39,0;435,3;25029;64771;8,1;7,0;8,6
24;Aurich – Emden;1.399,7;239,6;6,5;-3,4;2,0;16,5;8,0;11,3;34,2;19,0;11,0;16,3;83,7;524,3;52,0;589,7;20327;36445;8,0;7,2;8,2
25;Unterems;2.597,8;321,3;11,3;-1,2;6,5;17,7;8,1;12,3;35,1;17,0;9,8;14,8;85,2;458,9;51,9;608,7;20559;33099;5,0;4,5;5,5
26;Friesland – Wilhelmshaven – Wittmund;1.373,5;231,7;6,1;-5,8;6,4;15,4;7,7;11,2;32,8;19,4;13,5;16,3;83,7;563,3;52,7;613,3;20268;31666;8,0;5,8;9,3
27;Oldenburg – Ammerland;833,7;293,9;8,6;-1,0;6,7;16,2;8,8;13,9;33,9;16,5;10,8;23,1;76,9;527,9;50,5;573,6;21093;39934;6,2;5,4;6,6
28;Delmenhorst – Wesermarsch – Oldenburg-Land;1.952,1;297,0;10,3;-2,4;4,7;17,0;7,6;11,0;35,1;17,7;11,5;14,7;85,3;486,3;49,5;603,5;21890;26384;6,5;6,2;6,5
